date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:25	128498/128498	---MCZ	200	added ('OK')	application/javascript	etag:W/%2243069f220c4918fadaaaa05e0f8d4866%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/93656207-c6f3489c8866f693.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/93656207-c6f3489c8866f693.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:25	881/881	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c306377b2f954bcdf5d874f1d552ab1%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/69bd6bf3-583fd1786d6463f8.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/69bd6bf3-583fd1786d6463f8.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:25	44112/44112	---MCZ	200	added ('OK')	application/javascript	etag:W/%229fa216b00314734f19534efe2bdb1d35%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/b4d7d80c-da42a3086aafde9e.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/b4d7d80c-da42a3086aafde9e.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:25	27592/27592	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c5d189484a1a54b25870c3f799bb94c%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/ad54e6ef-6fc63f30e1d3513e.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/ad54e6ef-6fc63f30e1d3513e.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:26	6916/6916	---MCZ	200	added ('OK')	application/javascript	etag:W/%226e1be3fa5f3735304ed215cdf3f04421%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/8c469d57-15109969c63e1543.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/8c469d57-15109969c63e1543.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:26	69788/69788	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a94742c4baa1c17608128b3731791b4f%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/2edb282b-a83f7ffd007bccf0.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/2edb282b-a83f7ffd007bccf0.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:26	141405/141405	---MCZ	200	added ('OK')	application/javascript	etag:W/%228d88db3c885fe5cbb8ffda65338fa1ff%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/998ccc15-ad35dfdb33c695e6.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/998ccc15-ad35dfdb33c695e6.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:26	312723/312723	---MCZ	200	added ('OK')	application/javascript	etag:W/%220b37cb0c6bcc82c0fdd72148471e5ac6%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/b13ba9de-11ef9f2e07c3e310.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/b13ba9de-11ef9f2e07c3e310.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:26	59090/59090	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cf449f5fe71e53fbc2e1ddb1affdc5f4%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/91bbf309-384c42be65e3e52b.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/91bbf309-384c42be65e3e52b.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:27	93192/93192	---MCZ	200	added ('OK')	application/javascript	etag:W/%226c4d7fc251bedbf06fcb27836bc72f8a%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/b155a556-fcae5884b6180690.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/b155a556-fcae5884b6180690.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:27	105357/105357	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214ba19357dabfea06fec6c7361436ab8%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/d08a6a05-d92448afdf309bb8.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/d08a6a05-d92448afdf309bb8.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:27	55344/55344	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b85b5ca3c7cdedd37cbfe465a378aeb8%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/9b583bcd-f8f16bc96d67efb2.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/9b583bcd-f8f16bc96d67efb2.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:27	63727/63727	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c9ed845adf617c0eb2c18ba9d0c5ae37%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/1035ef44-e4d66d81a61710cd.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/1035ef44-e4d66d81a61710cd.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:27	60000/60000	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dce8ffa61031549d27336c23722b64a3%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/b779bb5e-28b0d806a81f2318.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/b779bb5e-28b0d806a81f2318.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:28	58268/58268	---MCZ	200	added ('OK')	application/javascript	etag:W/%22131b898177663a090c2fd4e8f1c3f389%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/a29ae703-de9ed4e81359daba.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/a29ae703-de9ed4e81359daba.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:28	2727594/2727594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f75cc53c0d0ae14e65a8f74e9e534ca2%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/4584-ab22e77db1c86c64.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/4584-ab22e77db1c86c64.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:28	2797387/2797387	---MCZ	200	added ('OK')	application/javascript	etag:W/%22569e3e433973924794d4342e4e1ed2b8%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/5331-6f01a8bb8940ae8a.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/5331-6f01a8bb8940ae8a.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:30	991/991	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c6758a5a86d256e3003daaf290ea91c%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/pages/published/%5BdocId%5D-c1057168b5b68c18.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/chunks/pages/published/[docId]-c1057168b5b68c18.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:30	6356/6356	---MCZ	200	added ('OK')	application/javascript	etag:W/%22071a10df77f2a6e24da5da6cb88c58a4%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/iMcS-bokyE39xqUW3dIwU/_buildManifest.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/iMcS-bokyE39xqUW3dIwU/_buildManifest.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:30	148/148	---MCZ	200	added ('OK')	application/javascript	etag:W/%2204987fc48c39f077c58c57c1c1245e1f%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/iMcS-bokyE39xqUW3dIwU/_ssgManifest.js	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/iMcS-bokyE39xqUW3dIwU/_ssgManifest.js	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:30	113/113	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2012%20Nov%202024%2006:02:27%20GMT	https://imgproxy.gamma.app/resize/quality/resizing_type:fit/width:2400/https://cdn.gamma.app/theme_images/aurora/aurora-9_86948ce8.jpg	C:/My%20Web%20Sites/Program%20gmb/imgproxy.gamma.app/resize/quality/resizing_type_fit/width_2400/https_/cdn.gamma.app/theme_images/aurora/aurora-9_86948ce8.1c.delayed	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:30	140/140	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2012%20Nov%202024%2006:02:27%20GMT	https://imgproxy.gamma.app/resize/quality/resizing_type:fit/width:400/height:400/https://cdn.gamma.app/hz82zitewjn9d0s/generated-images/u-6V7IyAQL4se-xSdqb8-.jpg	C:/My%20Web%20Sites/Program%20gmb/imgproxy.gamma.app/resize/quality/resizing_type_fit/width_400/height_400/https_/cdn.gamma.app/hz82zitewjn9d0s/generated-images/u-6V7IyAQL4se-xSdqb8-.jpg	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:31	122/122	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2012%20Nov%202024%2006:02:27%20GMT	https://imgproxy.gamma.app/resize/quality/resizing_type:fit/width:2000/https://cdn.gamma.app/hz82zitewjn9d0s/edited-images/DmGALr7jq2R6dfUJ.png	C:/My%20Web%20Sites/Program%20gmb/imgproxy.gamma.app/resize/quality/resizing_type_fit/width_2000/https_/cdn.gamma.app/hz82zitewjn9d0s/edited-images/DmGALr7jq2R6dfUJ.png	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:31	2756/2756	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c1ad4e91ee7cc8136fb71e8c298f940%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/GammaLogoGradient.43edb67f.svg	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/GammaLogoGradient.43edb67f.svg	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:31	31551/31551	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2005:57:26%20GMT	https://program-pembelajaran-gmb-76c1rz4.gamma.site/syllab.ai	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/syllab.ai	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/)
13:02:33	28076/28076	---M--	200	added ('OK')	font/woff2	etag:%2266c678209ce93b6e2b583f02ce41529e%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_AMS-Regular.a79f1c31.woff2	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_AMS-Regular.a79f1c31.woff2	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:34	33516/33516	---M--	200	added ('OK')	font/woff	etag:%2210824af77e9961cfd548c8a458f10851%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_AMS-Regular.1608a09b.woff	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_AMS-Regular.1608a09b.woff	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:35	63632/63632	---M--	200	added ('OK')	font/ttf	etag:%2256573229753fad48910bda2ea1a6dd54%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_AMS-Regular.4aafdb68.ttf	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_AMS-Regular.4aafdb68.ttf	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:36	6912/6912	---M--	200	added ('OK')	font/woff2	etag:%22a9e9b0953b078cd40f5e19ef4face6fc%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Bold.ec17d132.woff2	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Bold.ec17d132.woff2	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:36	7716/7716	---M--	200	added ('OK')	font/woff	etag:%22de2ba279933d60f7819ff61f71c17bed%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Bold.b6770918.woff	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Bold.b6770918.woff	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:36	12368/12368	---M--	200	added ('OK')	font/ttf	etag:%22497bf407c4c609c6cf1f1ad38f437f7f%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Bold.cce5b8ec.ttf	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Bold.cce5b8ec.ttf	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:37	6908/6908	---M--	200	added ('OK')	font/woff2	etag:%2208d95d99bf4a2b2dc7a876653857f154%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Regular.55fac258.woff2	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Regular.55fac258.woff2	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:38	7656/7656	---M--	200	added ('OK')	font/woff	etag:%22a25140fbe6692bffe71a2ab861572eb3%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Regular.dad44a7f.woff	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Regular.dad44a7f.woff	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:38	12344/12344	---M--	200	added ('OK')	font/ttf	etag:%22e6fb499fc8f9925eea3138cccba17fff%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Regular.07ef19e7.ttf	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Caligraphic-Regular.07ef19e7.ttf	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:39	11348/11348	---M--	200	added ('OK')	font/woff2	etag:%22796f3797cdf36fcaea18c3070a608378%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Bold.d42a5579.woff2	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Bold.d42a5579.woff2	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:39	13296/13296	---M--	200	added ('OK')	font/woff	etag:%2240934fc076960bb989d590db044fef62%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Bold.9f256b85.woff	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Bold.9f256b85.woff	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:39	19584/19584	---M--	200	added ('OK')	font/ttf	etag:%22b9d7c4497cab3702487214651ab03744%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Bold.b18f59e1.ttf	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Bold.b18f59e1.ttf	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:40	11316/11316	---M--	200	added ('OK')	font/woff2	etag:%22f9e6a99f4a543b7d6cad1efb6cf1e4b1%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Regular.d3c882a6.woff2	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Regular.d3c882a6.woff2	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:40	13208/13208	---M--	200	added ('OK')	font/woff	etag:%22e435cda5784e21b26ab2d03fbcb56a99%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Regular.7c187121.woff	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Regular.7c187121.woff	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:41	19572/19572	---M--	200	added ('OK')	font/ttf	etag:%2297a699d83318e9334a0deaea6ae5eda2%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Regular.ed38e79f.ttf	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Fraktur-Regular.ed38e79f.ttf	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:42	25324/25324	---M--	200	added ('OK')	font/woff2	etag:%22a9382e25bcf75d856718fcef54d7acdb%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Bold.c3fb5ac2.woff2	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Bold.c3fb5ac2.woff2	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:42	29912/29912	---M--	200	added ('OK')	font/woff	etag:%224cdba6465ab9fac5d3833c6cdba7a8c3%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Bold.d181c465.woff	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Bold.d181c465.woff	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:43	51336/51336	---M--	200	added ('OK')	font/ttf	etag:%228e431f7ece346b6282dae3d9d0e7a970%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Bold.b74a1a8b.ttf	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Bold.b74a1a8b.ttf	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:44	16780/16780	---M--	200	added ('OK')	font/woff2	etag:%22d873734390c716d6e18ff3f71ac6eb8b%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-BoldItalic.6f2bb1df.woff2	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-BoldItalic.6f2bb1df.woff2	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:45	19412/19412	---M--	200	added ('OK')	font/woff	etag:%225f875f986a9bce1264e8c42417b56f74%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-BoldItalic.e3f82f9d.woff	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-BoldItalic.e3f82f9d.woff	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:45	32968/32968	---M--	200	added ('OK')	font/ttf	etag:%2252fb39b0434c463d5df32419608ab08a%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-BoldItalic.70d8b0a5.ttf	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-BoldItalic.70d8b0a5.ttf	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:46	16988/16988	---M--	200	added ('OK')	font/woff2	etag:%22652970624cde999882102fa2b6a8871f%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Italic.8916142b.woff2	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Italic.8916142b.woff2	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
13:02:47	19676/19676	---M--	200	added ('OK')	font/woff	etag:%228ffd28f6390231548ead99d7835887fa%22	https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Italic.9024d815.woff	C:/My%20Web%20Sites/Program%20gmb/program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/media/KaTeX_Main-Italic.9024d815.woff	(from https://program-pembelajaran-gmb-76c1rz4.gamma.site/_next/static/css/7f1bf32feb6a8541.css)
